title,brand,maker,mallName,lprice,hprice,productType,category1,category2,category3,category4,제품명
아이리버 IB-N3 ,아이리버,아이리버,네이버,32900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-N3
재피렉스 골전도 <b>이어폰</b> 블루투스 <b>무선</b> 오픈형 러닝 수영 운동용 대쉬번,,,재피렉스,118900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,재피렉스 대쉬번
QCY HT19 멜로버즈 블루투스 6.0 <b>무선 이어폰</b> 게이밍 ANC 노이즈캔슬링 고음질,QCY,QCY,와이엘사이언스,45500,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT19 멜로버즈
아이리버 <b>무선</b> 블루투스<b>이어폰</b> 6.0 ANC ENC 터치스크린 노이즈캔슬링 <b>이어폰</b>,아이리버,아이리버,온세상커머스,34800,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 이어폰
아이리버 IB-SE10,아이리버,아이리버,네이버,39800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-SE10
QCY RACE ,QCY,QCY,네이버,42900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY RACE
QCY HT16 멜로버즈,QCY,QCY,네이버,23800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT16 멜로버즈
삼성전자 갤럭시 버즈3 프로 SM-R630N,갤럭시,삼성전자,네이버,253000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈3 프로 SM-R630N
샥즈 오픈런 프로 2 S820,샥즈,,네이버,215000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈런 프로 2 S820
브리츠 StormTWS7,브리츠,브리츠,네이버,32900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 StormTWS7
2026년 브리츠 오픈형 블루투스 이어폰 귀찌 귀걸이형 스포츠 런닝 반딧불 <b>무선이어폰</b>,브리츠,브리츠,스피드썬,42900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 오픈형 이어폰
앤커 사운드코어 P31i(R60i NC) 노이즈캔슬링 <b>무선</b> 블루투스 <b>이어폰</b> D1202,ANKER,,앤커 공식스토어,32900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,앤커 사운드코어 P31i
아이리버 IB-ZX1 화이트,아이리버,아이리버,네이버,32900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-ZX1 화이트
아이엠듀 <b>무선</b> 블루투스 <b>이어폰</b> 노이즈캔슬링 플로소닉,아이엠듀,아이엠듀,네이버,29900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이엠듀 플로소닉
[공식] 삼성 갤럭시 버즈4 프로 블루투스 <b>이어폰</b> SM-R640,갤럭시,삼성전자,삼성공식파트너사 포디아이,359000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성 갤럭시 버즈4 프로 SM-R640
아이리버 골전도 <b>이어폰</b> 블루투스 대용량 가벼운 편안한 초경량 헬스 마라톤 액티비티 그레이,아이리버,아이리버,아이리버온라인몰,49000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 골전도 이어폰
삼성전자 갤럭시 버즈3 SM-R530N,갤럭시,삼성전자,네이버,159000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈3 SM-R530N
아이리버 <b>무선</b> 블루투스 넥밴드 <b>이어폰</b> 운동 러닝 통화용 스포츠 이어셋 IB-NX1,아이리버,아이리버,EU커머스,24900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-NX1
브리츠 Realfit5,브리츠,브리츠,네이버,46200,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 Realfit5
아이리버 IOW-L90 ,아이리버,아이리버,네이버,32800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IOW-L90
Apple 에어팟 4 MXP63KH/A,Apple,Apple,네이버,177900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,Apple 에어팟 4 MXP63KH/A
라익미 LE60 사운드미 골전도 오픈형 블루투스 AI <b>이어폰</b>,라익미,라익미,네이버,39800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,라익미 LE60 사운드미
BOSE 울트라 오픈 이어버드 정품,BOSE,BOSE,네이버,306000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,BOSE 울트라 오픈 이어버드
소니 WF-1000XM6,소니,소니,네이버,455000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,소니 WF-1000XM6
아이리버 오픈형 <b>무선</b> 블루투스 6.0 귀걸이형 <b>이어폰</b> C타입 러닝 아이폰 호환 IB-IX7,아이리버,아이리버,EU커머스,37900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-IX7
QCY T17 APP 초경량 5.3 블루투스 <b>무선 이어폰</b> 노이즈캔슬링 커널형 저지연 블랙,QCY,QCY,비욘드퍼니싱,21800,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T17 APP
블라우풍트 ENC 노이즈캔슬링 오픈형 블루투스 <b>이어폰</b> 오픈픽 BLP-OE383,블라우풍트,블라우풍트,블라우풍트,61180,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,블라우풍트 오픈픽 BLP-OE383
아이리버 ITW-C1 오픈타입 <b>무선</b> 이어커프 갤럭시 아이폰 호환 귀찌형 블루투스 <b>이어폰</b>,아이리버,아이리버,티바이포코퍼레이션,34800,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 ITW-C1
지노바 OpenRide <b>무선</b> 오픈형 블루투스 귀걸이형 <b>이어폰</b> 런닝 운동 스포츠,지노바,지노바,지노바,55900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,지노바 OpenRide
아이리버 <b>무선 이어폰</b> 골전도 커널형 오픈형 블루투스 스포츠 러닝 귀안아픈 IB-SE10,아이리버,아이리버,더퍼스트 정품 스토어,39800,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-SE10
브리츠 Propods5 plus 블루투스 커널형 <b>이어폰</b>,브리츠,브리츠,브리츠공식총판,33900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 ProPods5 Plus
브리츠 Realfit5 블루투스 오픈형 <b>이어폰</b>,브리츠,브리츠,브리츠공식총판,47900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 Realfit5
[가격파괴] 커널형 <b>이어폰</b> 1순위 베이스어스 <b>무선</b> 블루투스 <b>이어폰</b> TWS 액티브 노이즈캔슬링 BP1 Pro,베이스어스,베이스어스,베이스어스,29900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 BP1 Pro
QCY HT10 AilyBuds Pro 노이즈캔슬링 블루투스 <b>이어폰</b> 에일리버즈 프로 블랙,QCY,QCY,와이엘사이언스,31400,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT10 AilyBuds Pro 블랙
QCY HT08 멜로버즈 프로 플러스 소음차단 46dB 블루투스 <b>이어폰</b> 노이즈캔슬링 화이트,QCY,QCY,와이엘사이언스,44500,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT08 멜로버즈 프로 플러스 화이트
[오픈형<b>이어폰</b> 1위 귀통증 ZERO] 베이스어스 오픈형 <b>이어폰</b> MC2 에어쿠션 블루투스 <b>무선</b> 러닝 귀걸이형,베이스어스,베이스어스,베이스어스,79900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 MC2
아이리버 오픈핏 귀걸이형 LCD 터치스크린 <b>무선</b> 6.0 <b>이어폰</b> 러닝 자전거 IB-ZX4,아이리버,아이리버,케어럽,38900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-ZX4
샥즈 오픈런 프로 2 미니 S821,샥즈,,네이버,225250,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈런 프로 2 미니 S821
샥즈 오픈 스윔 프로 S710,샥즈,,네이버,211000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈 스윔 프로 S710
샥즈 오픈핏 프로 T010,샥즈,,네이버,368000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈핏 프로 T010
삼성전자 갤럭시 버즈3 FE <b>무선</b> 블루투스 <b>이어폰</b> ANC SM-R420,,삼성전자,삼성공식파트너 제이유,159000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈3 FE SM-R420
애플 정품 에어팟 Airpods 블루투스 <b>무선이어폰</b>,Apple,Apple,오렌지스펙트럼,254900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,애플 에어팟 Airpods
샥즈 오픈닷 원 E310,샥즈,,네이버,227000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈닷 원 E310
QCY HT20 멜로버즈 블루투스 <b>무선 이어폰</b> 노이즈캔슬링 AI마이크 C타입 커널형 게이밍,QCY,QCY,와이엘사이언스,20900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT20 멜로버즈
라익미 LE10 사운드미 ANC 노이즈캔슬링 <b>무선</b> 블루투스 <b>이어폰</b> 베이지,라익미,라익미,라익미전자,12300,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,라익미 LE10 사운드미 베이지
[베이스튠] Vox 업무용 러닝 골전도 스포츠 자전거 <b>무선 이어폰</b>,,,헬스네이처스토어,86200,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,Vox 골전도 이어폰
QCY T22APP,QCY,QCY,네이버,25500,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T22APP
QCY T13 APP 블루투스 <b>이어폰</b> <b>무선</b> ENC 노이즈캔슬링 갤럭시 아이폰 화이트,QCY,QCY,와이엘사이언스,24300,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T13 APP 화이트
삼성전자 갤럭시 버즈3 FE <b>무선</b> 블루투스 <b>이어폰</b> ANC SM-R420N,갤럭시,삼성전자,삼성공식파트너 엠디텍,159000,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈3 FE SM-R420N
[오픈형<b>이어폰</b> 원조 귀통증 ZERO] 베이스어스 <b>무선</b> 블루투스 <b>이어폰</b> 오픈형 러닝 귀안아픈 MC1 에어쿠션,베이스어스,베이스어스,베이스어스,44900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 MC1
아이리버 IB-N3 러닝 <b>무선</b> 블루투스 골전도 <b>이어폰</b> 귀걸이형,아이리버,아이리버,N샵 스토어,32900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-N3
QCY RACE 레이스 오픈형 <b>무선</b> 블루투스 <b>이어폰</b> 귀걸이형 귀찌 스포츠 운동 러닝용,QCY,QCY,와이엘사이언스,42900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY RACE
QCY CT06 오픈형 귀찌 <b>무선</b> 블루투스<b>이어폰</b> 귀안아픈 러닝 자전거 운동용 이어커프 블랙,QCY,QCY,와이엘사이언스,47900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY CT06 블랙
티버디 골전도 오픈형 <b>무선 이어폰</b>,티버디,,네이버,33300,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,티버디 골전도 이어폰
[EDIFIER] Comfo Bass 오픈 이어 블루투스 이어버드,에디파이어,에디파이어,EDIFIER,99000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,EDIFIER Comfo Bass
삼성공식파트너 JBL WAVE BEAM 액티브 노이즈캔슬링 <b>무선</b> 블루투스 <b>이어폰</b>,JBL,삼성전자,삼성파트너 케이원에이브이,54900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,JBL WAVE BEAM
블라우풍트 블루투스 <b>무선</b> 오픈형 귀걸이 귀찌형 <b>이어폰</b> 귀걸이형 이어클립 러닝 귀찌<b>이어폰</b>,블라우풍트,하나인더스트리,블라우풍트,42900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,블라우풍트 오픈형 이어폰
QCY T13X APP,QCY,QCY,네이버,24300,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T13X APP
삼성전자 갤럭시 버즈4 프로 SM-R640N 블랙 방수 블루투스 <b>무선 이어폰</b> 와이어리스 고음질,갤럭시,삼성전자,쿠팡,354190,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈4 프로 SM-R640N 블랙
브리츠 BZ-BONE9Plus,브리츠,브리츠,네이버,74900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 BZ-BONE9Plus
볼티움 러닝 <b>이어폰</b> 귀찌 귀찌형 운동용 운동 <b>이어폰</b> 블루투스 오픈형,볼티움,,볼티움,70900,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,볼티움 오픈형 이어폰
축구 스포츠 귀편한 노이즈캔슬링 오픈형 귀걸이형 <b>무선</b> 블루투스 <b>이어폰</b> 어플연동 사무실,로랜텍,로랜텍,멀티스토어119,53300,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,오픈형 이어폰
소니 WF-1000XM5,소니,소니,네이버,275000,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,소니 WF-1000XM5
DOXX 오픈형 귀찌 <b>무선</b> 블루투스 <b>이어폰</b> 언더커버형 귀안아픈 V6.0 러닝 자전거 운동용,DOXX,DOXX,DOXX,59000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,DOXX 오픈형 이어폰
QCY T43 Buds 버즈 AI <b>무선</b> 블루투스 <b>이어폰</b> ENC 노이즈캔슬링 패브릭 화이트,QCY,QCY,와이엘사이언스,18900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T43 Buds 화이트
[공식] [BOSE] 보스 울트라 오픈 이어버드,BOSE,BOSE,보스 공식스토어,309000,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,보스 울트라 오픈 이어버드
QCY T13 APP 블루투스 <b>이어폰</b> <b>무선</b> ENC 노이즈캔슬링 갤럭시 아이폰 블랙,QCY,QCY,와이엘사이언스,24300,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T13 APP 블랙
아이엠듀 플로소닉 <b>무선</b> 블루투스 <b>이어폰</b> 커널형 노이즈캔슬링 ANC 스포츠 운동 러닝 <b>이어폰</b>,아이엠듀,아이엠듀,아이엠듀 플러스,29900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이엠듀 플로소닉
QCY T30 AIR,QCY,QCY,네이버,32500,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T30 AIR
1+1 볼티움 수영 러닝 골전도 블루투스 <b>무선</b> 운동용 <b>이어폰</b> 아쿠아본x,볼티움,,볼티움,234800,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,볼티움 아쿠아본X
지노바 NeckLine Pro 넥밴드 <b>무선</b> 블루투스 <b>이어폰</b> 스포츠 목걸이 런닝 이어셋,지노바,지노바,지노바,41800,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,지노바 NeckLine Pro
QCY T13 APP 블루투스 <b>이어폰</b> <b>무선</b> ENC 노이즈캔슬링 갤럭시 아이폰 퍼플,QCY,QCY,와이엘사이언스,24300,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T13 APP 퍼플
QCY HT08 멜로버즈 프로 플러스 블루투스 <b>이어폰</b> 노이즈캔슬링 블랙,QCY,QCY,와이엘사이언스,44500,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT08 멜로버즈 프로 플러스 블랙
삼성전자 갤럭시 버즈4 SM-R540N 블랙 블루투스 <b>무선 이어폰</b> <b>와이어리스 earphone</b> bluetooth,갤럭시,삼성전자,쿠팡,227890,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈4 SM-R540N 블랙
DOXX 오픈형 귀찌 <b>무선</b> 블루투스 <b>이어폰</b> 귀안아픈 러닝 자전거 운동용,DOXX,DOXX,DOXX,29800,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,DOXX 오픈형 이어폰
QCY CT06 오픈형 귀찌 C타입<b>무선</b> 블루투스 <b>이어폰</b> 러닝 자전거 운동용 이어커프 화이트,QCY,QCY,와이엘사이언스,47900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY CT06 화이트
블라우풍트 ENC 노이즈 캔슬링,블라우풍트,블라우풍트,네이버,28800,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,블라우풍트 이어폰
QCY T13 <b>무선</b> 블루투스 <b>이어폰</b> 커널형 <b>이어폰</b>,QCY,QCY,쇼핑 Pay,24300,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T13
[공식] 삼성전자 갤럭시 버즈4 블루투스 <b>이어폰</b> SM-R540,갤럭시,삼성전자,삼성공식파트너 제이유,259000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼성전자 갤럭시 버즈4 SM-R540
QCY HT10 AilyBuds Pro 노이즈캔슬링 블루투스 <b>이어폰</b> 에일리버즈 프로 화이트,QCY,QCY,와이엘사이언스,31500,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY HT10 AilyBuds Pro 화이트
삼지아이티 피스넷 워터본 수영 방수 골전도 블루투스 <b>이어폰</b>,피스넷,삼지아이티,네이버,99900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,삼지아이티 피스넷 워터본
완전방수 자전거 수영 스포츠 MP3 골전도 블루투스 <b>이어폰</b> 피스넷 워터본 / IP68,피스넷,삼지아이티,피스넷공식스토어,99900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,피스넷 워터본
QCY T43 Buds 버즈 AI <b>무선</b> 블루투스 <b>이어폰</b> ENC 노이즈캔슬링 패브릭 블랙,QCY,QCY,와이엘사이언스,18900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,QCY T43 Buds 블랙
베이스어스 MC1 PRO <b>무선</b> 블루투스 오픈형 <b>이어폰</b>,베이스어스,베이스어스,네이버,62950,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,베이스어스 MC1 PRO
애플 에어팟 4세대 ANC 노이즈캔슬링 노캔 Airpods,Apple,Apple,시드코퍼레이션,252000,,2,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,애플 에어팟 4세대
[샥즈] 오픈런 프로 2 S820 골전도 헬스 운동 러닝 마라톤 자전거 <b>이어폰</b> 애프터샥,샥즈,,샥즈 코리아,236550,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,샥즈 오픈런 프로 2 S820
브리츠 Britz Apods4 ANC,브리츠,브리츠,네이버,34900,,1,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,브리츠 Apods4 ANC
아이리버 <b>무선</b> 블루투스 6.0 <b>이어폰</b> 오픈형 LCD 터치스크린 화이트 IB-ZX1,아이리버,아이리버,아일랜드 커머스,32900,,3,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋,아이리버 IB-ZX1 화이트
